

	Week starting on...	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22
	Total # checklists submitted - (2017)	3	5	22	19	5	9	13	19	3	19	18	16
	Total # checklists submitted - (2018)	8	33	12	17	11	17	23	36	33	4	18	16
	
Birds Per Party Hour
	2014	0.0	0.0	0.48277826790177913	0.4061102018548827	20.340537223888738	12.5	3.0043414899458702	1.9230769230769231	4.080031600726096	0.0	2.5	0.0
	2015	0.0	0.0	0.0	0.0	189.84615384615384	0.75	2.3835928262607378	3.316666666666667	63.3982683982684	3.225895023594385	10.995555555555555	1.617283950617284
	2016	0.0	0.0	0.5333533353335334	2.698816333000908	11.124583456729749	3.1150973971282734	5.082950962328002	3.6282392793228637	1.1933657123852102	0.5588240715141461	0.991571641051066	0.4579803068468056
	2017	0.0	1.25	6.487179487179487	8.441723334733888	0.0	12.50250922509225	2.5005814726209463	3.816349914614664	0.0	5.942208026305271	2.286034322023423	2.0285714285714285
	2018	0.0	0.4444444444444444	3.966286564204264	2.3666666666666667	17.61057293371898	20.720367284259222	32.94372265905	8.150562562444897	2.6134592910011687	0.0	0.43575757575757573	0.0
	# checklists reporting species - (2014)	0.0	0.0	2	2	4	1	8	2	4	0.0	1	0
	# checklists reporting species - (2015)	0.0	0.0	0.0	0.0	1	1	2	6	3	4	5	2
	# checklists reporting species - (2016)	0.0	0.0	3	5	6	8	6	5	3	3	1	1
	# checklists reporting species - (2017)	0.0	1	2	6	0.0	4	8	3	0.0	4	8	7
	# checklists reporting species - (2018)	0.0	1	1	5	5	11	14	15	2	0.0	5	0.0
	
High Count
	2014	0.0	0.0	2	1	100	25	20	20	131	0.0	10	1
	2015	0.0	0.0	0.0	0.0	2468	9	6	11	2468	12	100	5
	2016	0.0	0.0	2	10	100	13	80	15	5	3	2	2
	2017	0.0	3	8	23	0.0	389	18	20	0.0	8	20	25
	2018	0.0	1	8	13	100	300	500	120	7	0.0	2	0.0
	# checklists reporting species - (2014)	0.0	0.0	3	5	6	4	10	5	6	0.0	3	2
	# checklists reporting species - (2015)	0.0	0.0	0.0	0.0	1	1	3	8	4	7	7	7
	# checklists reporting species - (2016)	0.0	0.0	3	5	10	9	9	7	3	4	3	1
	# checklists reporting species - (2017)	0.0	1	3	9	0.0	4	8	5	0.0	4	8	9
	# checklists reporting species - (2018)	0.0	1	1	5	5	11	16	15	2	0.0	5	0.0
	
Totals
	2014	0.0	0.0	3	2	240	25	72	25	156	0.0	10	0
	2015	0.0	0.0	0.0	0.0	2468	9	12	38	2510	29	134	9
	2016	0.0	0.0	4	27	130	57	117	35	8	7	2	2
	2017	0.0	3	9	81	0.0	417	58	24	0.0	18	87	41
	2018	0.0	1	8	28	146	693	666	301	12	0.0	7	0.0
	# checklists reporting species - (2014)	0.0	0.0	2	2	4	1	8	2	4	0.0	1	0
	# checklists reporting species - (2015)	0.0	0.0	0.0	0.0	1	1	2	6	3	4	5	2
	# checklists reporting species - (2016)	0.0	0.0	3	5	6	8	7	5	3	3	1	1
	# checklists reporting species - (2017)	0.0	1	2	7	0.0	4	8	3	0.0	4	8	7
	# checklists reporting species - (2018)	0.0	1	1	5	5	11	14	15	2	0.0	5	0.0
	
Average Count
	2014	0.0	0.0	1.5	1.0	60.0	25.0	9.0	12.5	39.0	0.0	10.0	0.0
	2015	0.0	0.0	0.0	0.0	2468.0	9.0	6.0	6.333333333333333	836.6666666666666	7.25	26.8	4.5
	2016	0.0	0.0	1.3333333333333333	5.4	21.666666666666668	7.125	16.714285714285715	7.0	2.6666666666666665	2.3333333333333335	2.0	2.0
	2017	0.0	3.0	4.5	11.571428571428571	0.0	104.25	7.25	8.0	0.0	4.5	10.875	5.857142857142857
	2018	0.0	1.0	8.0	5.6	29.2	63.0	47.57142857142857	20.066666666666666	6.0	0.0	1.4	0.0
	# checklists reporting species - (2014)	0.0	0.0	2	2	4	1	8	2	4	0.0	1	0
	# checklists reporting species - (2015)	0.0	0.0	0.0	0.0	1	1	2	6	3	4	5	2
	# checklists reporting species - (2016)	0.0	0.0	3	5	6	8	7	5	3	3	1	1
	# checklists reporting species - (2017)	0.0	1	2	7	0.0	4	8	3	0.0	4	8	7
	# checklists reporting species - (2018)	0.0	1	1	5	5	11	14	15	2	0.0	5	0.0
	
