

	Week starting on...	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22
Frequency (%)
	2014	0.0	0.0	20.0	35.714285714285715	60.0	50.0	63.63636363636363	66.66666666666666	62.5	0.0	17.647058823529413	14.285714285714285
	2015	0.0	0.0	0.0	0.0	0.0	0.0	50.0	61.53846153846154	50.0	70.0	50.0	31.25
	2016	0.0	0.0	20.0	44.44444444444444	64.28571428571429	50.0	38.88888888888889	53.84615384615385	18.75	23.52941176470588	18.75	9.090909090909092
	2017	0.0	20.0	13.636363636363635	42.10526315789473	0.0	44.44444444444444	61.53846153846154	15.789473684210526	0.0	15.789473684210526	44.44444444444444	50.0
	2018	0.0	3.0303030303030303	8.333333333333332	17.647058823529413	36.36363636363637	64.70588235294117	65.21739130434783	36.11111111111111	6.0606060606060606	0.0	27.77777777777778	0.0
	Total # checklists submitted - (2014)	3	12	10	14	10	6	11	6	8	8	17	14
	Total # checklists submitted - (2015)	9	8	6	17	3	2	6	13	6	10	14	16
	Total # checklists submitted - (2016)	9	10	15	9	14	16	18	13	16	17	16	11
	Total # checklists submitted - (2017)	3	5	22	19	5	9	13	19	3	19	18	16
	Total # checklists submitted - (2018)	8	33	12	17	11	17	23	36	33	4	18	16
	
Abundance
	2014	0.0	0.0	0.2	0.14285714285714285	24.0	4.166666666666667	4.636363636363637	4.166666666666667	3.125	0.0	0.5882352941176471	0.0
	2015	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.923076923076923	7.0	2.9	9.571428571428571	0.5625
	2016	0.0	0.0	0.26666666666666666	1.8888888888888888	9.285714285714286	2.75	6.444444444444445	2.6923076923076925	0.5	0.4117647058823529	0.125	0.18181818181818182
	2017	0.0	0.6	0.4090909090909091	4.0	0.0	46.333333333333336	4.461538461538462	1.263157894736842	0.0	0.8947368421052632	4.833333333333333	2.5625
	2018	0.0	0.030303030303030304	0.6666666666666666	0.7647058823529411	4.181818181818182	40.76470588235294	27.217391304347824	8.305555555555555	0.36363636363636365	0.0	0.3888888888888889	0.0
	Total # checklists submitted - (2014)	3	12	10	14	10	6	11	6	8	8	17	14
	Total # checklists submitted - (2015)	9	8	6	17	3	2	6	13	6	10	14	16
	Total # checklists submitted - (2016)	9	10	15	9	14	16	18	13	16	17	16	11
