

	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
	2014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48277826790177913	0.4061102018548827	20.340537223888738	12.5	3.0043414899458702	1.9230769230769231	4.080031600726096	0.0	2.5	0.0	0.0	0.0	0.0	3.625	0.0	0.0	0.0	9.178571428571429	5.166666666666667	0.6176470588235294	50.0	118.97435897435898	0.0	0.0	37.0	0.0	1.4285714285714286	0.0	10.438707044160395	0.0	1.243393437777121	0.3333333333333333	0.5555555555555556	1.95007500750075	0.0	3.375	0.0	1.5357142857142858
	2015	0.14285714285714285	0.0	0.5	0.43073373327180436	0.0	0.38571261993038325	0.0	0.0	0.0	0.0	0.0	0.0	189.84615384615384	0.75	2.3835928262607378	3.316666666666667	63.3982683982684	2.680716018875508	10.995555555555555	1.617283950617284	0.8888888888888888	8.0	0.6666666666666666	2.140096618357488	0.0	1.8	0.0	3.1161053074154785	0.0	2.9160597130126655	0.0	58.01298701298701	0.0	32.219089810712845	24.327458057780436	0.8	0.0	2.0	0.0	6.825086595584109	1.5	7.100280681378242	3.0555555555555554	2.5133521834747095	0.0	1.3333333333333333	0.0	1.8666666666666667
	2016	1.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5333533353335334	2.698816333000908	11.124583456729749	3.1150973971282734	5.082950962328002	3.6282392793228637	1.1933657123852102	0.5588240715141461	0.991571641051066	0.4579803068468056	0.0	0.0	0.6	0.3333333333333333	0.0	0.0	0.0	29.837002214164233	0.0	0.8618499182514696	42.56237589570923	1.7421668154392342	3.5	0.3972983710766786	5.273566249176005	0.44576239650200017	0.0	1.0	0.6666666666666666	0.8787878787878788	0.5962271061473016	2.1691973969631237	0.0	1.0	0.0	0.0	0.5714285714285714	0.0
	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	6.487179487179487	7.235762858343333	0.0	12.50250922509225	2.5005814726209463	3.816349914614664	0.0	5.942208026305271	2.286034322023423	2.0285714285714285	1.0454545454545454	0.7523039307880384	0.0	8.0	0.0	0.0	1.2498500299940012	0.0	0.0	2.5001500150015	0.5	0.0	0.5714285714285714	1.7084271067766943	0.0	1.2307692307692308	0.0	2.962962962962963	3.554147465437788	0.0	0.0	19.37443171485725	3.3333333333333335	4.73559589581689	0.7254554625088547	0.0	0.0	0.0
	2018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4444444444444444	3.966286564204264	2.3666666666666667	17.61057293371898	20.720367284259222	32.94372265905	8.150562562444897	2.6134592910011687	0.0	0.43575757575757573	0.0	0.0	0.0	0.3333333333333333	0.8888888888888888	0.0	1.3183915622940012	5.00364567930681	3.9573184429254518	0.0	1.2	4.966020429435064	0.38207028384282143	0.0	0.0	0.0	0.5519604111153407	2.857142857142857	0.7222222222222222	2.4903780846728547	0.651890482398957	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2014)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	2	4	1	8	2	4	0.0	1	0	0.0	0.0	0.0	2	0.0	0.0	0.0	3	2	2	1	1	0.0	0	1	0	1	0.0	4	0	2	1	1	2	0.0	1	0.0	2
	# checklists reporting species - (2015)	1	0.0	1	2	0.0	3	0.0	0.0	0.0	0.0	0.0	0.0	1	1	2	6	3	5	5	2	1	1	1	3	0.0	2	0	4	0.0	3	0.0	2	0.0	1	4	1	0	1	0.0	2	1	4	3	1	0.0	1	0.0	2
	# checklists reporting species - (2016)	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	5	6	8	6	5	3	3	1	1	0.0	0.0	1	1	0	0	0.0	2	0.0	3	1	3	2	1	1	2	0.0	1	1	2	4	1	0.0	1	0.0	0.0	1	0.0
	# checklists reporting species - (2017)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	2	7	0.0	4	8	3	0.0	4	8	7	2	1	0.0	1	0	0.0	2	0.0	0.0	2	1	0.0	1	2	0.0	1	0.0	3	2	0.0	0.0	3	1	1	2	0.0	0.0	0.0
	# checklists reporting species - (2018)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	5	5	11	14	15	2	0.0	5	0.0	0.0	0.0	1	1	0.0	1	2	3	0.0	1	3	2	0.0	0	0.0	2	1	2	1	1	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0
	
High Count
	2014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	1	100	25	20	20	131	0.0	10	1	0.0	0.0	0.0	14	0.0	0.0	0.0	270	16	1	550	1160	0.0	1	407	1	4	0.0	413	1	4	1	5	6	0.0	27	0.0	6
	2015	1	0.0	2	3	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	2468	9	6	11	2468	12	100	5	2	46	2	95	0.0	5	2	95	0.0	77	0.0	522	0.0	80	417	2	1	4	0.0	12	3	44	9	8	0.0	3	0.0	1
	2016	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	10	100	13	80	15	5	3	2	2	0.0	0.0	3	3	2	1	0.0	637	0.0	4	493	22	10	1	8	2	0.0	3	1	6	14	3	0.0	3	0.0	0.0	1	0.0
	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	8	23	0.0	389	18	20	0.0	8	20	25	6	4	0.0	2	1	0.0	5	0.0	0.0	10	1	0.0	1	4	0.0	4	0.0	10	10	0.0	0.0	50	7	6	1	0.0	0.0	0.0
	2018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	8	13	100	300	500	120	7	0.0	2	0.0	0.0	0.0	1	2	0.0	2	8	7	0.0	6	10	1	0.0	1	0.0	2	4	2	11	1	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2014)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	5	6	4	10	5	6	0.0	3	2	0.0	0.0	0.0	3	0.0	0.0	0.0	3	2	2	1	1	0.0	1	2	1	1	0.0	5	1	2	1	1	3	0.0	1	0.0	2
	# checklists reporting species - (2015)	1	0.0	1	2	0.0	3	0.0	0.0	0.0	0.0	0.0	0.0	1	1	3	8	4	8	8	8	3	2	2	3	0.0	2	1	4	0.0	3	0.0	2	0.0	1	5	1	1	2	0.0	2	2	4	4	2	0.0	1	0.0	2
	# checklists reporting species - (2016)	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	5	10	9	9	7	3	4	3	2	0.0	0.0	2	1	1	3	0.0	2	0.0	3	3	3	2	1	1	2	0.0	1	1	2	4	1	0.0	1	0.0	0.0	1	0.0
	# checklists reporting species - (2017)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	3	9	0.0	4	8	5	0.0	4	8	9	2	1	0.0	1	1	0.0	3	0.0	0.0	2	1	0.0	1	2	0.0	1	0.0	3	2	0.0	0.0	3	1	1	2	0.0	0.0	0.0
	# checklists reporting species - (2018)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	5	5	11	16	15	2	0.0	5	0.0	0.0	0.0	1	1	0.0	2	2	3	0.0	1	3	2	0.0	1	0.0	2	1	2	1	1	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0
	
Totals
	2014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	2	240	25	72	25	156	0.0	10	0	0.0	0.0	0.0	15	0.0	0.0	0.0	272	26	2	550	1160	0.0	0	407	0	4	0.0	422	0	7	1	5	11	0.0	27	0.0	9
	2015	1	0.0	2	4	0.0	3	0.0	0.0	0.0	0.0	0.0	0.0	2468	9	12	38	2510	30	134	9	2	46	2	112	0.0	7	2	110	0.0	80	0.0	642	0.0	80	460	2	0	4	0.0	22	3	60	16	8	0.0	3	0.0	2
	2016	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	27	130	57	117	35	8	7	2	2	0.0	0.0	3	3	2	0	0.0	642	0.0	7	493	29	14	1	8	4	0.0	3	1	8	18	3	0.0	3	0.0	0.0	1	0.0
	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	9	81	0.0	417	58	24	0.0	18	87	41	10	4	0.0	2	0	0.0	9	0.0	0.0	14	1	0.0	1	5	0.0	4	0.0	15	11	0.0	0.0	91	7	6	2	0.0	0.0	0.0
	2018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	8	28	146	693	666	301	12	0.0	7	0.0	0.0	0.0	1	2	0.0	2	11	12	0.0	6	17	2	0.0	0	0.0	3	4	3	11	1	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2014)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	2	4	1	8	2	4	0.0	1	0	0.0	0.0	0.0	2	0.0	0.0	0.0	3	2	2	1	1	0.0	0	1	0	1	0.0	4	0	2	1	1	2	0.0	1	0.0	2
	# checklists reporting species - (2015)	1	0.0	1	2	0.0	3	0.0	0.0	0.0	0.0	0.0	0.0	1	1	2	6	3	5	5	2	1	1	1	3	0.0	2	1	4	0.0	3	0.0	2	0.0	1	4	1	0	1	0.0	2	1	4	4	1	0.0	1	0.0	2
	# checklists reporting species - (2016)	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	5	6	8	7	5	3	3	1	1	0.0	0.0	1	1	1	0	0.0	2	0.0	3	1	3	2	1	1	2	0.0	1	1	2	4	1	0.0	1	0.0	0.0	1	0.0
	# checklists reporting species - (2017)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	2	7	0.0	4	8	3	0.0	4	8	7	2	1	0.0	1	0	0.0	2	0.0	0.0	2	1	0.0	1	2	0.0	1	0.0	3	2	0.0	0.0	3	1	1	2	0.0	0.0	0.0
	# checklists reporting species - (2018)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	5	5	11	14	15	2	0.0	5	0.0	0.0	0.0	1	1	0.0	1	2	3	0.0	1	3	2	0.0	0	0.0	2	1	2	1	1	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0
	
Average Count
	2014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	1.0	60.0	25.0	9.0	12.5	39.0	0.0	10.0	0.0	0.0	0.0	0.0	7.5	0.0	0.0	0.0	90.66666666666667	13.0	1.0	550.0	1160.0	0.0	0.0	407.0	0.0	4.0	0.0	105.5	0.0	3.5	1.0	5.0	5.5	0.0	27.0	0.0	4.5
	2015	1.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2468.0	9.0	6.0	6.333333333333333	836.6666666666666	6.0	26.8	4.5	2.0	46.0	2.0	37.333333333333336	0.0	3.5	2.0	27.5	0.0	26.666666666666668	0.0	321.0	0.0	80.0	115.0	2.0	0.0	4.0	0.0	11.0	3.0	15.0	4.0	8.0	0.0	3.0	0.0	1.0
	2016	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3333333333333333	5.4	21.666666666666668	7.125	16.714285714285715	7.0	2.6666666666666665	2.3333333333333335	2.0	2.0	0.0	0.0	3.0	3.0	2.0	0.0	0.0	321.0	0.0	2.3333333333333335	493.0	9.666666666666666	7.0	1.0	8.0	2.0	0.0	3.0	1.0	4.0	4.5	3.0	0.0	3.0	0.0	0.0	1.0	0.0
	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.5	11.571428571428571	0.0	104.25	7.25	8.0	0.0	4.5	10.875	5.857142857142857	5.0	4.0	0.0	2.0	0.0	0.0	4.5	0.0	0.0	7.0	1.0	0.0	1.0	2.5	0.0	4.0	0.0	5.0	5.5	0.0	0.0	30.333333333333332	7.0	6.0	1.0	0.0	0.0	0.0
	2018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0	5.6	29.2	63.0	47.57142857142857	20.066666666666666	6.0	0.0	1.4	0.0	0.0	0.0	1.0	2.0	0.0	2.0	5.5	4.0	0.0	6.0	5.666666666666667	1.0	0.0	0.0	0.0	1.5	4.0	1.5	11.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2014)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	2	4	1	8	2	4	0.0	1	0	0.0	0.0	0.0	2	0.0	0.0	0.0	3	2	2	1	1	0.0	0	1	0	1	0.0	4	0	2	1	1	2	0.0	1	0.0	2
	# checklists reporting species - (2015)	1	0.0	1	2	0.0	3	0.0	0.0	0.0	0.0	0.0	0.0	1	1	2	6	3	5	5	2	1	1	1	3	0.0	2	1	4	0.0	3	0.0	2	0.0	1	4	1	0	1	0.0	2	1	4	4	1	0.0	1	0.0	2
	# checklists reporting species - (2016)	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	5	6	8	7	5	3	3	1	1	0.0	0.0	1	1	1	0	0.0	2	0.0	3	1	3	2	1	1	2	0.0	1	1	2	4	1	0.0	1	0.0	0.0	1	0.0
	# checklists reporting species - (2017)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	2	7	0.0	4	8	3	0.0	4	8	7	2	1	0.0	1	0	0.0	2	0.0	0.0	2	1	0.0	1	2	0.0	1	0.0	3	2	0.0	0.0	3	1	1	2	0.0	0.0	0.0
	# checklists reporting species - (2018)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	5	5	11	14	15	2	0.0	5	0.0	0.0	0.0	1	1	0.0	1	2	3	0.0	1	3	2	0.0	0	0.0	2	1	2	1	1	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0
	
