

	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
Frequency (%)
	2014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	33.33333333333333	60.0	50.0	63.63636363636363	66.66666666666666	62.5	0.0	17.647058823529413	8.695652173913043	0.0	0.0	0.0	15.384615384615385	0.0	0.0	0.0	15.384615384615385	25.0	66.66666666666666	0.0	0.0	0.0	20.0	0.0	100.0	20.0	0.0	57.14285714285714	33.33333333333333	66.66666666666666	100.0	0.0	60.0	0.0	0.0	0.0	9.090909090909092
	2015	0.0	0.0	12.5	20.0	0.0	42.857142857142854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	61.53846153846154	50.0	70.0	53.333333333333336	35.294117647058826	37.5	25.0	20.0	14.285714285714285	0.0	33.33333333333333	0.0	21.428571428571427	0.0	20.0	0.0	25.0	0.0	100.0	66.66666666666666	20.0	20.0	100.0	0.0	40.0	33.33333333333333	57.14285714285714	50.0	20.0	0.0	12.5	0.0	16.666666666666664
	2016	22.22222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	44.44444444444444	64.28571428571429	50.0	38.88888888888889	53.84615384615385	18.75	23.52941176470588	18.75	16.666666666666664	0.0	0.0	28.57142857142857	25.0	0.0	50.0	0.0	7.6923076923076925	0.0	18.181818181818183	28.57142857142857	66.66666666666666	33.33333333333333	7.6923076923076925	20.0	18.181818181818183	0.0	12.5	11.11111111111111	33.33333333333333	15.789473684210526	12.5	0.0	11.11111111111111	0.0	0.0	12.5	0.0
	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	13.636363636363635	42.10526315789473	0.0	44.44444444444444	61.53846153846154	15.789473684210526	0.0	15.789473684210526	44.44444444444444	47.05882352941176	20.0	10.0	0.0	5.263157894736842	6.666666666666667	0.0	50.0	0.0	0.0	18.181818181818183	8.333333333333332	0.0	7.142857142857142	25.0	0.0	50.0	0.0	30.0	16.666666666666664	0.0	0.0	50.0	33.33333333333333	33.33333333333333	25.0	0.0	0.0	0.0
	2018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.125	8.333333333333332	16.666666666666664	36.36363636363637	64.70588235294117	65.21739130434783	36.11111111111111	6.0606060606060606	0.0	26.31578947368421	0.0	0.0	0.0	5.0	5.0	0.0	20.0	18.181818181818183	5.555555555555555	0.0	8.333333333333332	16.666666666666664	8.0	0.0	10.0	0.0	18.181818181818183	8.333333333333332	20.0	10.0	5.88235294117647	0.0	12.5	0.0	0.0	0.0	0.0	0.0	0.0
	Total # checklists submitted - (2014)	2	0	8	1	1	5	9	8	3	12	10	15	10	6	11	6	8	8	17	23	14	2	4	13	5	2	2	13	8	3	3	10	0	5	3	1	5	3	7	3	3	1	0	5	4	0	1	11
	Total # checklists submitted - (2015)	9	6	8	5	0.0	7	5	10	9	8	6	17	3	2	6	13	6	10	15	17	8	4	10	14	7	6	1	14	8	10	4	4	2	1	6	5	5	2	1	5	6	7	6	10	3	8	3	12
	Total # checklists submitted - (2016)	9	12	3	12	7	25	13	7	9	10	15	9	14	16	18	13	16	17	16	12	4	2	7	4	6	6	11	13	10	11	7	3	6	13	5	11	3	8	9	6	19	8	6	9	7	2	8	8
	Total # checklists submitted - (2017)	6	5	2	2	5	0.0	1	2	3	5	22	19	5	9	13	19	3	19	18	17	10	10	3	19	15	7	6	8	5	11	12	8	14	8	6	2	6	10	12	8	5	6	3	3	8	4	6	45
	Total # checklists submitted - (2018)	13	5	13	10	9	7	8	8	8	32	12	18	11	17	23	36	33	4	19	16	6	11	20	20	9	10	11	54	13	12	18	25	5	10	3	11	12	10	10	17	3	8	5	13	9	4	13	17
	
Abundance
	2014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.13333333333333333	24.0	4.166666666666667	4.636363636363637	4.166666666666667	3.125	0.0	0.5882352941176471	0.0	0.0	0.0	0.0	1.1538461538461537	0.0	0.0	0.0	0.15384615384615385	3.25	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	1.2857142857142858	0.0	2.3333333333333335	1.0	0.0	2.2	0.0	0.0	0.0	0.5454545454545454
	2015	0.0	0.0	0.25	0.2	0.0	0.42857142857142855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.923076923076923	7.0	2.9	8.933333333333334	0.5294117647058824	0.25	0.0	0.2	1.2142857142857142	0.0	1.1666666666666667	0.0	1.0714285714285714	0.0	0.3	0.0	30.0	0.0	80.0	72.33333333333333	0.4	0.0	2.0	0.0	4.4	0.5	8.571428571428571	2.5	0.8	0.0	0.375	0.0	0.16666666666666666
	2016	0.5555555555555556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26666666666666666	1.8888888888888888	9.285714285714286	2.75	6.444444444444445	2.6923076923076925	0.5	0.4117647058823529	0.125	0.16666666666666666	0.0	0.0	0.42857142857142855	0.75	0.0	0.0	0.0	0.38461538461538464	0.0	0.2727272727272727	0.0	2.3333333333333335	2.3333333333333335	0.07692307692307693	1.6	0.36363636363636365	0.0	0.375	0.1111111111111111	1.3333333333333333	0.21052631578947367	0.375	0.0	0.3333333333333333	0.0	0.0	0.125	0.0
	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.4090909090909091	4.0	0.0	46.333333333333336	4.461538461538462	1.263157894736842	0.0	0.8947368421052632	4.833333333333333	2.411764705882353	1.0	0.4	0.0	0.10526315789473684	0.0	0.0	1.5	0.0	0.0	1.2727272727272727	0.08333333333333333	0.0	0.07142857142857142	0.625	0.0	2.0	0.0	1.5	0.9166666666666666	0.0	0.0	15.166666666666666	2.3333333333333335	2.0	0.25	0.0	0.0	0.0
	2018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03125	0.6666666666666666	0.7222222222222222	4.181818181818182	40.76470588235294	27.217391304347824	8.305555555555555	0.36363636363636365	0.0	0.3684210526315789	0.0	0.0	0.0	0.05	0.1	0.0	0.2	1.0	0.2222222222222222	0.0	0.5	0.9444444444444444	0.08	0.0	0.0	0.0	0.2727272727272727	0.3333333333333333	0.3	1.1	0.058823529411764705	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0
	Total # checklists submitted - (2014)	2	0	8	1	1	5	9	8	3	12	10	15	10	6	11	6	8	8	17	23	14	2	4	13	5	2	2	13	8	3	3	10	0	5	3	1	5	3	7	3	3	1	0	5	4	0	1	11
	Total # checklists submitted - (2015)	9	6	8	5	0.0	7	5	10	9	8	6	17	3	2	6	13	6	10	15	17	8	4	10	14	7	6	1	14	8	10	4	4	2	1	6	5	5	2	1	5	6	7	6	10	3	8	3	12
	Total # checklists submitted - (2016)	9	12	3	12	7	25	13	7	9	10	15	9	14	16	18	13	16	17	16	12	4	2	7	4	6	6	11	13	10	11	7	3	6	13	5	11	3	8	9	6	19	8	6	9	7	2	8	8
	Total # checklists submitted - (2017)	6	5	2	2	5	0.0	1	2	3	5	22	19	5	9	13	19	3	19	18	17	10	10	3	19	15	7	6	8	5	11	12	8	14	8	6	2	6	10	12	8	5	6	3	3	8	4	6	45
	Total # checklists submitted - (2018)	13	5	13	10	9	7	8	8	8	32	12	18	11	17	23	36	33	4	19	16	6	11	20	20	9	10	11	54	13	12	18	25	5	10	3	11	12	10	10	17	3	8	5	13	9	4	13	17
	
Birds Per Party Hour
