

	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
Frequency (%)
	2009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.285714285714285	25.0	0.0	0.0	50.0	100.0	0.0	33.33333333333333	0.0	50.0	0.0	0.0	0.0	33.33333333333333	0.0	0.0	11.11111111111111	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	50.0	0.0	33.33333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2010	0.0	0.0	0.0	18.181818181818183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.11111111111111	100.0	42.857142857142854	50.0	25.0	28.57142857142857	66.66666666666666	0.0	0.0	50.0	0.0	0.0	0.0	0.0	50.0	100.0	25.0	0.0	0.0	0.0	0.0	20.0	0.0	20.0	50.0	0.0	0.0	40.0	50.0	40.0	0.0	80.0	50.0	100.0	0.0	50.0
	2011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	20.0	16.666666666666664	40.0	88.88888888888889	57.14285714285714	75.0	44.44444444444444	25.0	42.857142857142854	0.0	50.0	0.0	50.0	16.666666666666664	50.0	40.0	12.5	0.0	33.33333333333333	42.857142857142854	0.0	0.0	0.0	33.33333333333333	0.0	0.0	0.0	0.0	0.0	100.0	0.0	33.33333333333333	100.0	0.0	0.0	0.0	0.0
	2012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.5	25.0	27.27272727272727	15.384615384615385	26.666666666666668	0.0	11.11111111111111	33.33333333333333	46.15384615384615	16.666666666666664	15.384615384615385	0.0	0.0	0.0	0.0	0.0	0.0	50.0	28.57142857142857	23.076923076923077	0.0	16.666666666666664	42.857142857142854	40.0	0.0	45.45454545454545	20.0	100.0	100.0	16.666666666666664	50.0	75.0	16.666666666666664	50.0	14.285714285714285	0.0	0.0	4.3478260869565215
	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.090909090909092	33.33333333333333	66.66666666666666	33.33333333333333	50.0	0.0	15.384615384615385	12.5	37.5	12.5	0.0	0.0	0.0	28.57142857142857	25.0	0.0	0.0	0.0	33.33333333333333	0.0	0.0	14.285714285714285	0.0	0.0	50.0	60.0	0.0	0.0	60.0	0.0	50.0	0.0	0.0	100.0	50.0	0.0	0.0	0.0
	Total # checklists submitted - (2009)	1	0.0	0.0	1	0.0	0.0	0.0	0.0	1	7	3	7	4	2	2	2	3	3	3	4	2	1	0	0.0	3	0	0.0	9	1	3	4	1	0	1	2	0	0	2	3	3	0.0	0	0.0	0.0	0.0	0.0	2	1
	Total # checklists submitted - (2010)	0.0	2	0	11	2	1	1	3	0.0	1	3	6	9	1	7	6	4	7	3	5	0	2	0	0	0.0	0	2	1	4	4	2	3	1	5	3	5	2	1	2	5	2	5	0.0	5	6	3	0.0	2
	Total # checklists submitted - (2011)	3	1	1	5	2	0.0	4	6	3	5	2	5	6	5	9	14	8	9	4	7	0.0	2	5	2	6	4	5	8	2	3	7	1	1	1	3	2	3	2	1	3	1	7	3	1	3	4	1	3
	Total # checklists submitted - (2012)	6	2	5	6	1	9	6	12	11	6	8	16	11	13	15	3	9	6	13	12	13	7	3	6	10	4	9	6	7	13	7	12	7	5	0.0	11	5	2	2	6	4	4	6	6	7	2	3	23
