

	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
Frequency (%)
	2019	5.263157894736842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	54.166666666666664	80.64516129032258	64.0	88.88888888888889	48.57142857142857	79.16666666666666	83.33333333333334	85.0	63.63636363636363	56.52173913043478	86.66666666666667	72.22222222222221	85.71428571428571	78.26086956521739	70.0	87.5	75.0	84.61538461538461	83.33333333333334	60.0	75.0	68.42105263157895	93.33333333333333	83.33333333333334	100.0	76.47058823529412	40.0	33.33333333333333	50.0	37.5	14.285714285714285	50.0	0.0	9.090909090909092	0.0	0.0	0.0	0.0
	2020	0.0	0.0	0.0	0.0	0.0	0.0	26.666666666666668	6.25	29.411764705882355	27.27272727272727	36.84210526315789	53.57142857142857	69.23076923076923	86.95652173913044	76.47058823529412	76.19047619047619	82.35294117647058	83.33333333333334	75.0	81.25	83.33333333333334	92.3076923076923	78.94736842105263	94.44444444444444	100.0	77.77777777777779	88.88888888888889	75.0	81.81818181818183	85.71428571428571	88.88888888888889	87.5	100.0	100.0	87.5	94.11764705882352	100.0	70.0	66.66666666666666	50.0	37.5	5.555555555555555	22.22222222222222	6.666666666666667	9.090909090909092	0.0	0.0	0.0
	2021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.666666666666664	21.73913043478261	48.0	78.57142857142857	68.42105263157895	75.67567567567568	80.0	89.58333333333334	95.45454545454545	85.29411764705883	86.66666666666667	73.80952380952381	95.23809523809523	87.5	50.81967213114754	66.66666666666666	61.904761904761905	100.0	87.5	85.0	92.5925925925926	91.66666666666666	100.0	89.47368421052632	74.07407407407408	93.75	83.33333333333334	85.71428571428571	66.66666666666666	46.15384615384615	33.33333333333333	38.46153846153847	0.0	16.666666666666664	0.0	0.0	0.0	10.0	28.57142857142857	34.61538461538461
	2022	27.27272727272727	0.0	0.0	0.0	0.0	0.0	0.0	7.6923076923076925	12.5	19.047619047619047	72.0	77.77777777777779	81.48148148148148	80.43478260869566	77.77777777777779	87.5	89.47368421052632	78.37837837837837	92.5925925925926	86.95652173913044	76.0	86.95652173913044	51.85185185185185	83.33333333333334	80.0	93.75	78.57142857142857	77.77777777777779	100.0	75.0	90.47619047619048	87.5	75.0	35.714285714285715	81.81818181818183	86.36363636363636	91.66666666666666	68.75	40.0	71.42857142857143	0.0	11.76470588235294	25.0	0.0	0.0	0.0	0.0	0.0
	2023	0.0	0.0	0.0	0.0	0.0	10.0	6.896551724137931	0.0	0.0	0.0	41.17647058823529	75.0	61.53846153846154	68.08510638297872	93.93939393939394	75.30864197530865	94.44444444444444	75.0	78.84615384615384	77.5	67.44186046511628	47.45762711864407	91.30434782608695	78.26086956521739	60.0	64.70588235294117	70.58823529411765	71.05263157894737	75.0	51.85185185185185	52.94117647058824	72.97297297297297	81.81818181818183	82.6086956521739	95.45454545454545	72.0	87.5	66.66666666666666	73.68421052631578	61.111111111111114	8.333333333333332	23.076923076923077	10.0	0.0	0.0	0.0	7.6923076923076925	5.0
	Total # checklists submitted - (2019)	19	13	4	10	4	6	17	7	7	4	24	31	25	9	35	24	24	20	33	23	15	18	7	23	20	8	20	26	12	5	4	76	15	12	11	17	15	3	16	8	7	4	6	11	5	4	3	8
	Total # checklists submitted - (2020)	14	3	10	7	7	17	15	16	17	11	19	28	13	23	17	21	17	24	12	16	12	13	19	18	10	9	9	12	11	14	9	8	11	9	8	17	4	10	9	14	8	18	9	15	11	10	15	30
	Total # checklists submitted - (2021)	16	18	25	17	10	8	15	7	18	23	25	28	38	37	25	48	22	34	15	42	21	32	61	30	21	11	16	20	27	12	7	19	27	16	12	14	9	13	21	13	10	12	5	14	6	10	7	26
	Total # checklists submitted - (2022)	11	8	17	16	12	17	36	13	16	21	25	36	27	46	27	56	19	37	27	23	25	23	54	30	20	16	14	27	13	20	21	16	20	14	22	22	12	16	15	21	15	17	16	26	17	8	9	9
	Total # checklists submitted - (2023)	15	12	18	17	12	10	29	13	22	24	34	20	39	47	33	81	18	52	52	40	43	59	23	23	15	17	17	38	12	27	17	37	22	23	22	25	16	12	19	18	12	13	10	14	4	3	13	20
	
Abundance
	2019	0.05263157894736842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	30.125	11.387096774193548	13.76	8.666666666666666	7.257142857142857	8.208333333333334	18.458333333333332	10.1	13.818181818181818	5.521739130434782	13.533333333333333	4.277777777777778	8.857142857142858	51.69565217391305	51.9	35.75	13.3	10.884615384615385	8.583333333333334	7.6	7.75	10.81578947368421	27.666666666666668	52.833333333333336	162.1818181818182	16.470588235294116	6.266666666666667	6.333333333333333	3.5	3.0	0.14285714285714285	3.5	0.0	0.09090909090909091	0.0	0.0	0.0	0.0
	2020	0.0	0.0	0.0	0.0	0.0	0.0	7.4	0.75	1.8235294117647058	0.5454545454545454	2.6315789473684212	3.2142857142857144	28.23076923076923	18.608695652173914	14.470588235294118	7.809523809523809	13.705882352941176	11.083333333333334	14.75	14.875	8.166666666666666	37.15384615384615	11.052631578947368	24.88888888888889	25.9	67.77777777777777	168.22222222222223	27.333333333333332	61.45454545454545	140.57142857142858	297.6666666666667	37.25	168.36363636363637	47.888888888888886	67.375	36.411764705882355	19.0	10.6	10.666666666666666	4.785714285714286	0.625	1.1666666666666667	2.6666666666666665	3.2	0.2727272727272727	0.0	0.0	0.0
	2021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7777777777777777	3.739130434782609	4.32	8.464285714285714	12.605263157894736	24.08108108108108	73.8	52.0625	63.63636363636363	28.11764705882353	22.333333333333332	8.595238095238095	35.714285714285715	24.9375	27.42622950819672	51.96666666666667	346.23809523809524	212.63636363636363	261.0	174.5	146.85185185185185	38.083333333333336	38.285714285714285	30.842105263157894	20.48148148148148	19.75	19.416666666666668	40.142857142857146	11.333333333333334	8.692307692307692	2.857142857142857	8.538461538461538	0.0	0.16666666666666666	0.0	0.0	0.0	9.0	0.14285714285714285	0.6538461538461539
	2022	1.2727272727272727	0.0	0.0	0.0	0.0	0.0	0.0	0.23076923076923078	1.75	4.9523809523809526	39.12	16.333333333333332	13.222222222222221	29.97826086956522	24.333333333333332	36.55357142857143	32.578947368421055	13.0	20.296296296296298	18.608695652173914	12.92	17.782608695652176	8.925925925925926	72.23333333333333	18.9	77.1875	114.78571428571429	64.18518518518519	50.53846153846154	61.85	115.57142857142857	120.875	119.3	41.214285714285715	42.45454545454545	45.54545454545455	13.0	7.875	3.2	15.285714285714286	0.0	1.9411764705882353	0.875	0.0	0.0	0.0	0.0	0.0
	2023	0.0	0.0	0.0	0.0	0.0	1.2	0.6206896551724138	0.0	0.0	0.0	9.029411764705882	12.15	13.384615384615385	19.595744680851062	21.09090909090909	17.02469135802469	21.444444444444443	7.096153846153846	10.596153846153847	12.975	8.093023255813954	6.067796610169491	11.521739130434783	14.782608695652174	30.666666666666668	13.176470588235293	10.882352941176471	58.026315789473685	44.583333333333336	84.22222222222223	48.94117647058823	169.8108108108108	38.90909090909091	47.391304347826086	64.18181818181819	36.0	65.1875	11.416666666666666	12.052631578947368	8.777777777777779	1.0	1.5384615384615385	3.0	0.0	0.0	0.0	1.0769230769230769	0.15
	Total # checklists submitted - (2019)	19	13	4	10	4	6	17	7	7	4	24	31	25	9	35	24	24	20	33	23	15	18	7	23	20	8	20	26	12	5	4	76	15	12	11	17	15	3	16	8	7	4	6	11	5	4	3	8
	Total # checklists submitted - (2020)	14	3	10	7	7	17	15	16	17	11	19	28	13	23	17	21	17	24	12	16	12	13	19	18	10	9	9	12	11	14	9	8	11	9	8	17	4	10	9	14	8	18	9	15	11	10	15	30
	Total # checklists submitted - (2021)	16	18	25	17	10	8	15	7	18	23	25	28	38	37	25	48	22	34	15	42	21	32	61	30	21	11	16	20	27	12	7	19	27	16	12	14	9	13	21	13	10	12	5	14	6	10	7	26
	Total # checklists submitted - (2022)	11	8	17	16	12	17	36	13	16	21	25	36	27	46	27	56	19	37	27	23	25	23	54	30	20	16	14	27	13	20	21	16	20	14	22	22	12	16	15	21	15	17	16	26	17	8	9	9
	Total # checklists submitted - (2023)	15	12	18	17	12	10	29	13	22	24	34	20	39	47	33	81	18	52	52	40	43	59	23	23	15	17	17	38	12	27	17	37	22	23	22	25	16	12	19	18	12	13	10	14	4	3	13	20
	
Birds Per Party Hour
	2019	0.6313131313131313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.229280019829149	31.0285243833481	9.640549112379638	13.978213167855213	4.722356335062554	7.028882237789664	4.43932716729241	10.484781158471701	11.073037625120607	12.944974926164257	15.824700513072406	8.652253434953337	5.571567534123008	5.33333105240393	32.61332684790551	45.85227946146802	22.759346485512424	10.496054552695764	6.168516083651139	23.340189486519467	4.548084670035889	4.03342375633631	16.593504802445008	26.921791436632237	39.00385417100945	78.3384889238365	14.613332672427951	54.79795208152608	5.086973915826532	10.095111969107233	4.7377730288567825	0.7496251874062968	8.356564019448946	0.0	2.0	0.0	0.0	0.0	0.0
	2020	0.0	0.0	0.0	0.0	0.0	0.0	15.414291058452383	8.468595624558928	4.033984315241914	2.2436787307882997	4.392320091495308	3.039159150806467	15.774283092378813	13.716836544142916	8.500115807751984	6.080362475553933	10.014762569222787	7.2800828598138745	6.749023429801441	8.288865649228939	7.049425978020485	18.745899766283866	24.743433673605303	50.03784177873059	19.960351364315613	42.83910523153019	169.5823657661388	39.52939436134424	36.2207684855857	66.30276197033383	133.20194959856306	35.07864357864358	76.26594452415145	37.682125342846234	50.28739958465053	38.33927458061412	8.898328134007693	7.911748684798486	10.697117302858324	4.448398505572026	1.1851247175745565	7.157464212678937	7.07185122569738	192.0	3.6719706242350063	0.0	0.0	0.0
	2021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.20169237400213	8.84155460261526	11.795345033177341	6.813134143513731	10.699374663896862	19.328773499583434	29.71746872934343	20.631763041674365	29.625071464118044	21.42369849214717	11.795116547976088	6.038158483830214	15.557338979640278	13.69703395288496	178.52400884311496	53.46465932503923	454.74127436127304	134.57094364920766	162.91071542981004	103.59107877747947	104.15560034804592	62.22370947612561	11.035448696746657	51.57535659292693	25.77467082635414	9.749374788982452	7.641931245517679	39.158368427822765	11.47887361081432	15.171463489967897	21.95005919868176	5.648502448305589	0.0	0.8519183286073059	0.0	0.0	0.0	41.532071988924784	1.3333333333333333	1.6791706370586876
	2022	3.3445954349092335	0.0	0.0	0.0	0.0	0.0	0.0	0.967741935483871	4.4732254416062105	13.403498101207886	57.2278605457869	10.727314284062203	9.986110474455941	16.692028444500913	17.896710885763557	17.19916601314389	14.903829080728753	9.058246600973646	21.85710477197914	8.946925597328207	15.641336953371837	14.013469189519157	98.21078212862662	41.16909362520279	13.742576074659416	62.23113483978347	48.3864218729801	62.15499555569661	26.41397414035859	54.799495249169134	76.379885278297	58.76488940696462	78.62068899999156	55.069364410928856	85.10987890132675	33.29192304316944	8.420597075933347	6.182934057620713	31.66656873502158	9.906851873588648	0.0	16.166666666666668	0.41136067365095524	0.0	0.0	0.0	0.0	0.0
	2023	0.0	0.0	0.0	0.0	0.0	8.468595624558928	5.958654713569524	0.0	0.0	0.0	11.906828961072204	9.351460998718384	15.621924144096607	34.99593624879823	17.659861292144505	14.150315159551548	14.19171624967905	8.8569541361711	6.514156651814536	13.299410216490843	16.033076249746077	23.13149402394156	9.329701990576808	7.569799454521808	27.034980954972962	8.774169829882503	15.871278242645857	61.25591979590754	19.8268524543486	68.77764970466379	190.59908879529686	133.70901031620127	68.68193459711695	30.045416287433024	41.411009706990534	44.855316850197234	26.618814244480856	46.703515205081295	9.105793933052157	5.802843624825929	5.05	2.5617552653563735	13.333333333333334	0.0	0.0	0.0	5.6	1.7825311942959001
	# checklists reporting species - (2019)	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	14	24	19	8	19	16	17	17	19	17	14	14	8	19	13	7	15	24	12	3	3	54	13	8	12	11	9	3	8	3	1	3	0.0	1	0.0	0.0	0.0	0.0
	# checklists reporting species - (2020)	0.0	0.0	0.0	0.0	0.0	0.0	4	1	5	2	8	15	9	18	11	17	18	20	8	13	6	14	16	17	10	7	5	8	9	12	7	7	12	8	7	16	4	8	7	8	3	1	2	1	1	0.0	0.0	0.0
