

	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
Frequency (%)
	2014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.5	66.66666666666666	58.333333333333336	50.0	40.0	70.0	83.33333333333334	81.81818181818183	100.0	62.5	50.0	94.11764705882352	47.82608695652174	50.0	50.0	50.0	92.3076923076923	100.0	100.0	50.0	84.61538461538461	100.0	100.0	100.0	80.0	0.0	60.0	100.0	100.0	80.0	100.0	71.42857142857143	33.33333333333333	33.33333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	44.44444444444444	87.5	66.66666666666666	76.47058823529412	33.33333333333333	50.0	66.66666666666666	92.3076923076923	66.66666666666666	100.0	86.66666666666667	100.0	100.0	100.0	80.0	85.71428571428571	71.42857142857143	100.0	100.0	92.85714285714286	100.0	90.0	100.0	100.0	100.0	100.0	100.0	100.0	40.0	50.0	0.0	60.0	83.33333333333334	28.57142857142857	16.666666666666664	0.0	0.0	0.0	0.0	0.0
	2016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.857142857142854	33.33333333333333	80.0	80.0	77.77777777777779	85.71428571428571	75.0	72.22222222222221	84.61538461538461	75.0	94.11764705882352	87.5	83.33333333333334	75.0	100.0	100.0	100.0	100.0	100.0	90.9090909090909	61.53846153846154	70.0	90.9090909090909	85.71428571428571	66.66666666666666	66.66666666666666	61.53846153846154	100.0	90.9090909090909	33.33333333333333	50.0	22.22222222222222	16.666666666666664	26.31578947368421	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	63.63636363636363	42.10526315789473	20.0	77.77777777777779	92.3076923076923	94.73684210526315	33.33333333333333	84.21052631578947	83.33333333333334	88.23529411764706	100.0	80.0	100.0	78.94736842105263	66.66666666666666	71.42857142857143	100.0	75.0	60.0	72.72727272727273	83.33333333333334	87.5	78.57142857142857	87.5	83.33333333333334	100.0	50.0	40.0	50.0	50.0	0.0	66.66666666666666	0.0	33.33333333333333	12.5	0.0	0.0	2.2222222222222223
	2018	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	43.75	58.333333333333336	83.33333333333334	63.63636363636363	76.47058823529412	78.26086956521739	80.55555555555556	72.72727272727273	75.0	68.42105263157895	93.75	100.0	72.72727272727273	65.0	90.0	88.88888888888889	100.0	90.9090909090909	35.18518518518518	100.0	83.33333333333334	83.33333333333334	80.0	100.0	90.0	100.0	81.81818181818183	91.66666666666666	30.0	30.0	41.17647058823529	0.0	12.5	0.0	0.0	0.0	0.0	23.076923076923077	0.0
	Total # checklists submitted - (2014)	2	0	8	1	1	5	9	8	3	12	10	15	10	6	11	6	8	8	17	23	14	2	4	13	5	2	2	13	8	3	3	10	0	5	3	1	5	3	7	3	3	1	0	5	4	0	1	11
	Total # checklists submitted - (2015)	9	6	8	5	0.0	7	5	10	9	8	6	17	3	2	6	13	6	10	15	17	8	4	10	14	7	6	1	14	8	10	4	4	2	1	6	5	5	2	1	5	6	7	6	10	3	8	3	12
	Total # checklists submitted - (2016)	9	12	3	12	7	25	13	7	9	10	15	9	14	16	18	13	16	17	16	12	4	2	7	4	6	6	11	13	10	11	7	3	6	13	5	11	3	8	9	6	19	8	6	9	7	2	8	8
	Total # checklists submitted - (2017)	6	5	2	2	5	0.0	1	2	3	5	22	19	5	9	13	19	3	19	18	17	10	10	3	19	15	7	6	8	5	11	12	8	14	8	6	2	6	10	12	8	5	6	3	3	8	4	6	45
	Total # checklists submitted - (2018)	13	5	13	10	9	7	8	8	8	32	12	18	11	17	23	36	33	4	19	16	6	11	20	20	9	10	11	54	13	12	18	25	5	10	3	11	12	10	10	17	3	8	5	13	9	4	13	17
	
Abundance
	2014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	8.0	9.166666666666666	2.6	1.6	17.3	3.0	18.272727272727273	7.5	13.0	9.0	24.529411764705884	5.6521739130434785	4.857142857142857	12.5	11.0	92.46153846153847	50.2	50.0	75.0	27.153846153846153	39.75	41.333333333333336	13.333333333333334	34.8	0.0	1.2	29.333333333333332	0.0	22.0	6.666666666666667	1.8571428571428572	1.6666666666666667	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.222222222222222	10.625	23.5	5.647058823529412	1.3333333333333333	3.5	39.5	31.076923076923077	15.166666666666666	46.3	12.2	6.411764705882353	11.625	2.5	41.2	39.142857142857146	106.71428571428571	13.166666666666666	10.0	139.92857142857142	145.25	201.6	289.0	132.25	3.5	0.0	42.833333333333336	21.0	1.0	15.5	0.0	15.6	9.166666666666666	1.2857142857142858	6.5	0.0	0.0	0.0	0.0	0.0
