

	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
	2016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5714285714285716	0.8888888888888888	25.0	9.466666666666667	24.22222222222222	8.071428571428571	22.9375	35.44444444444444	16.23076923076923	20.0	46.05882352941177	24.25	21.0	4.25	10.5	8.285714285714286	29.75	34.833333333333336	31.666666666666668	147.36363636363637	69.07692307692308	131.4	100.72727272727273	46.857142857142854	91.66666666666667	37.5	18.53846153846154	47.2	3.909090909090909	0.3333333333333333	3.5	0.4444444444444444	0.5	1.3157894736842106	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	13.090909090909092	1.7894736842105263	1.6	34.666666666666664	22.692307692307693	18.05263157894737	3.6666666666666665	22.842105263157894	32.0	20.58823529411765	56.9	25.8	32.333333333333336	12.578947368421053	28.066666666666666	21.857142857142858	15.333333333333334	137.375	31.0	76.54545454545455	38.25	78.0	210.0	94.75	56.833333333333336	160.0	40.0	12.0	11.833333333333334	7.625	0.0	4.666666666666667	0.0	0.0	0.125	0.0	0.0	0.022222222222222223
	2018	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	26.71875	25.083333333333332	16.555555555555557	13.0	68.70588235294117	27.391304347826086	13.777777777777779	7.878787878787879	41.5	21.842105263157894	22.125	25.166666666666668	37.63636363636363	22.3	50.1	184.11111111111111	52.0	85.54545454545455	27.27777777777778	37.76923076923077	43.083333333333336	18.833333333333332	22.68	15.2	69.6	43.666666666666664	15.0	16.916666666666668	0.6	3.2	4.647058823529412	0.0	0.375	0.0	0.0	0.0	0.0	0.23076923076923078	0.0
	Total # checklists submitted - (2014)	2	0	8	1	1	5	9	8	3	12	10	15	10	6	11	6	8	8	17	23	14	2	4	13	5	2	2	13	8	3	3	10	0	5	3	1	5	3	7	3	3	1	0	5	4	0	1	11
	Total # checklists submitted - (2015)	9	6	8	5	0.0	7	5	10	9	8	6	17	3	2	6	13	6	10	15	17	8	4	10	14	7	6	1	14	8	10	4	4	2	1	6	5	5	2	1	5	6	7	6	10	3	8	3	12
	Total # checklists submitted - (2016)	9	12	3	12	7	25	13	7	9	10	15	9	14	16	18	13	16	17	16	12	4	2	7	4	6	6	11	13	10	11	7	3	6	13	5	11	3	8	9	6	19	8	6	9	7	2	8	8
	Total # checklists submitted - (2017)	6	5	2	2	5	0.0	1	2	3	5	22	19	5	9	13	19	3	19	18	17	10	10	3	19	15	7	6	8	5	11	12	8	14	8	6	2	6	10	12	8	5	6	3	3	8	4	6	45
	Total # checklists submitted - (2018)	13	5	13	10	9	7	8	8	8	32	12	18	11	17	23	36	33	4	19	16	6	11	20	20	9	10	11	54	13	12	18	25	5	10	3	11	12	10	10	17	3	8	5	13	9	4	13	17
	
Birds Per Party Hour
	2014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	12.0	9.340466906618676	9.124409115788426	3.131478450627387	11.500574083726091	3.6666666666666665	14.295400843582897	3.6495726495726495	10.536490688500821	8.08931020548113	17.649698546461096	12.233333333333333	8.077548407745239	7.979572294924992	20.94736842105263	47.96684342869389	35.0	50.0	66.66666666666667	61.25147638230551	20.58412094814897	16.11764705882353	14.908684308609764	26.803333507366784	0.0	2.4	43.9411407138278	12.5	13.412198662573475	3.3666666666666667	6.545753651486438	6.666666666666667	88.67868755542418	0.0	0.7777777777777778	0.0	0.0	0.0	0.0	0.0
	2015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	6.183333333333334	21.016025641025642	15.157608695652174	13.680651151908638	19.65811965811966	15.500656414103526	33.75492291068501	21.13261904761905	14.174458874458875	28.710394844134814	7.606681681681682	7.045664983164984	8.40741037488093	34.54382332643202	35.90561524289006	22.370436458253057	77.48335090270801	5.626315789473685	4.0	103.15730968706275	49.41190044595051	129.76939714666935	150.8	84.71205558601102	2.8	0.0	15.992113397001546	9.0625	2.0	15.5	10.333333333333334	16.54095435463917	6.866208109226314	2.1743983257760724	16.716673810544364	0.0	0.0	0.0	0.0	0.0
	2016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.972534800366758	1.983284169124877	12.445254524574057	7.865351364407889	15.12407941264837	7.372292428013998	16.23001922517707	17.59415702946504	19.558969760026418	15.60523341338878	22.968418545008102	25.411306314873702	12.57925113484826	2.9655125408942205	9.875097580015613	7.375	13.296296296296296	13.748995289185135	30.075187969924812	48.73828718678545	131.68316071694224	79.48588858040166	47.492816515560605	89.98014639681307	171.20323837567804	31.155744517363317	19.409728202149584	40.76410060182004	2.264432599134296	0.6666666666666666	7.321122536418167	5.997001499250374	1.0	4.957732543124411	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.84372935024775	19.308243520087835	4.787404628152164	19.18465227817746	17.180100676285107	14.267135597183737	12.875758405341754	4.4	32.591342235561164	7.91603994636851	18.06132423546822	20.884364966405492	17.819342236124378	13.861048056582469	7.966686987685683	21.353381541464028	10.97793365857881	6.1931413717256545	111.13027237625019	38.423468983666865	38.75782673393322	30.732033596434473	34.770742052812686	160.88453418942163	66.47597293779735	34.98888888888889	53.84615384615385	35.92140157976396	11.813492063492063	10.637419797251237	6.778119876092687	0.0	4.242498636115657	0.0	0.0	0.3076923076923077	0.0	0.0	0.856898029134533
	2018	0.0	0.0	0.0	2.7	0.0	0.0	0.0	0.0	0.0	46.305430879288195	20.630218861195704	11.708523857197497	9.499806254476361	48.82190173772313	68.89352050973257	6.074763354938633	11.716347143392408	19.123541406974308	9.97638675932501	10.587162543017703	17.19280159210366	27.75435882383241	32.413426145590364	33.229022238012334	81.62334075896193	39.61851449928604	72.69729612044821	43.72548620543761	21.03714534526205	40.21221934674631	10.65222308627849	21.864007608922783	83.90062158735923	45.63019741857072	12.798976601000021	29.385227370479498	14.994739375234255	0.8827301105205433	2.8746824139058686	4.256522008059555	0.0	1.0	0.0	0.0	0.0	0.0	0.48163670175482604	0.0
	# checklists reporting species - (2014)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	6	3	3	5	2	8	3	6	4	12	5	5	1	2	10	2	1	1	8	6	2	1	8	0	1	5	1	3	4	4	1	1	0.0	1	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2015)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	5	4	4	10	2	2	3	10	5	6	8	8	4	2	4	11	5	5	1	8	9	9	2	4	1	0	6	4	2	1	1	3	4	2	1	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2016)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	2	7	11	8	10	13	12	8	10	16	11	8	2	2	4	3	6	2	9	6	6	8	6	3	4	6	6	7	1	4	1	1	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2017)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	3	14	7	1	7	12	19	1	17	15	10	9	8	3	16	9	5	5	6	3	9	10	8	12	6	4	2	3	4	7	3	0.0	4	0.0	0	1	0.0	0.0	1
	# checklists reporting species - (2018)	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	13	7	14	8	13	18	31	21	3	13	15	6	7	12	18	8	8	9	18	11	9	15	20	5	10	3	11	9	3	4	7	0.0	1	0.0	0.0	0.0	0.0	3	0.0
	
High Count
	2014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20	24	60	197	10	87	16	273	30	304	27	150	85	30	25	36	350	200	100	150	2226	124	120	40	702	1	6	1086	50	56	12	225	5	300	0.0	7	0.0	0.0	0.0	0.0	0.0
	2015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20	36	40	90	36	488	309	200	152	488	167	47	40	90	379	200	3111	465	60	10	3111	700	2276	756	2157	7	1	115	45	3	31	31	50	17	8	39	0.0	0.0	0.0	0.0	0.0
	2016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8	6	200	30	50	30	132	200	75	120	200	145	129	15	20	35	52	83	100	1000	5083	500	400	4458	3953	170	120	110	16	1	10	4	3	47	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	22	53	16	8	185	50	100	11	124	150	150	218	75	75	50	100	50	59	882	100	450	200	250	1000	300	215	220	150	110	75	45	0.0	20	0.0	1	1	0.0	0.0	1
	2018	0.0	0.0	0.0	3	0.0	0.0	0.0	0.0	0.0	500	111	121	50	229	120	67	24	86	90	75	65	110	177	488	450	300	400	345	250	200	75	150	25	300	60	200	65	4	15	61	0.0	3	0.0	0.0	0.0	0.0	1	0.0
	# checklists reporting species - (2014)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	2	7	6	6	7	5	13	8	7	5	17	13	8	2	3	13	5	2	1	13	8	3	4	11	1	3	6	2	5	4	6	1	1	0.0	1	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2015)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	5	7	5	13	2	2	5	12	6	10	13	22	9	6	8	15	5	6	3	14	10	11	4	5	2	1	7	6	3	1	1	3	5	2	2	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2016)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	3	8	13	8	13	14	17	11	12	17	14	10	3	2	7	6	7	6	11	10	7	11	8	3	4	8	7	10	1	4	3	1	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2017)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	3	15	8	1	7	12	19	1	17	16	16	10	8	3	16	10	5	6	7	3	10	13	8	12	7	5	3	4	4	7	4	0.0	4	0.0	1	1	0.0	0.0	1
	# checklists reporting species - (2018)	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	15	7	17	8	14	19	32	24	3	13	16	6	8	13	21	8	10	10	20	13	10	16	21	5	11	3	12	11	3	4	7	0.0	1	0.0	0.0	0.0	0.0	3	0.0
	
Totals
	2014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20	24	110	223	24	173	18	474	45	433	82	421	130	70	35	44	1202	251	100	150	2779	318	124	40	1051	0	6	1274	50	150	32	238	5	300	0.0	7	0.0	0.0	0.0	0.0	0.0
	2015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20	70	85	151	96	492	316	245	404	609	463	183	113	183	390	412	3704	747	79	15	5070	1313	4292	1156	2686	7	0	289	106	5	31	31	78	55	9	40	0.0	0.0	0.0	0.0	0.0
	2016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18	8	250	142	243	113	411	640	211	320	823	388	252	17	21	58	121	245	190	1621	6031	1314	1108	4811	4228	225	241	280	43	1	28	6	3	72	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	50	294	34	8	312	295	345	11	451	577	350	569	258	97	243	421	153	92	1099	155	942	699	625	3140	758	341	320	240	120	182	61	0.0	28	0.0	0	1	0.0	0.0	1
	2018	0.0	0.0	0.0	6	0.0	0.0	0.0	0.0	0.0	870	301	378	145	1178	700	501	260	166	415	356	151	414	446	1577	1657	520	941	1478	491	517	339	592	76	712	131	390	203	6	36	79	0.0	3	0.0	0.0	0.0	0.0	3	0.0
	# checklists reporting species - (2014)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	6	3	4	5	2	8	3	7	4	12	5	5	2	2	10	3	1	1	8	6	2	1	8	0	1	5	1	4	4	4	1	1	0.0	1	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2015)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	5	4	4	10	2	2	3	10	5	6	8	12	5	3	4	11	5	5	2	8	10	9	2	4	1	0	6	5	2	1	1	3	4	2	2	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2016)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	2	8	11	8	10	13	13	8	10	16	11	8	2	2	4	5	7	2	9	6	6	8	6	3	4	6	6	7	1	4	2	1	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2017)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	3	14	7	1	7	12	19	1	17	15	10	9	8	3	16	9	5	5	6	3	9	10	8	12	6	4	2	3	4	7	3	0.0	4	0.0	0	1	0.0	0.0	1
	# checklists reporting species - (2018)	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	13	7	14	8	13	18	31	21	3	13	15	6	7	12	18	8	8	9	18	11	9	15	20	5	10	3	11	9	3	4	7	0.0	1	0.0	0.0	0.0	0.0	3	0.0
	
Average Count
	2014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	24.0	18.333333333333332	74.33333333333333	6.0	34.6	9.0	59.25	15.0	61.857142857142854	20.5	35.083333333333336	26.0	14.0	17.5	22.0	120.2	83.66666666666667	100.0	150.0	347.375	53.0	62.0	40.0	131.375	0.0	6.0	254.8	50.0	37.5	8.0	59.5	5.0	300.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
	2015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	14.0	21.25	37.75	9.6	246.0	158.0	81.66666666666667	40.4	121.8	77.16666666666667	22.875	9.416666666666666	36.6	130.0	103.0	336.72727272727275	149.4	15.8	7.5	633.75	131.3	476.8888888888889	578.0	671.5	7.0	0.0	48.166666666666664	21.2	2.5	31.0	31.0	26.0	13.75	4.5	20.0	0.0	0.0	0.0	0.0	0.0
	2016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	4.0	31.25	12.909090909090908	30.375	11.3	31.615384615384617	49.23076923076923	26.375	32.0	51.4375	35.27272727272727	31.5	8.5	10.5	14.5	24.2	35.0	95.0	180.11111111111111	1005.1666666666666	219.0	138.5	801.8333333333334	1409.3333333333333	56.25	40.166666666666664	46.666666666666664	6.142857142857143	1.0	7.0	3.0	3.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16.666666666666668	21.0	4.857142857142857	8.0	44.57142857142857	24.583333333333332	18.157894736842106	11.0	26.529411764705884	38.46666666666667	35.0	63.22222222222222	32.25	32.333333333333336	15.1875	46.77777777777778	30.6	18.4	183.16666666666666	51.666666666666664	104.66666666666667	69.9	78.125	261.6666666666667	126.33333333333333	85.25	160.0	80.0	30.0	26.0	20.333333333333332	0.0	7.0	0.0	0.0	1.0	0.0	0.0	1.0
	2018	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	66.92307692307692	43.0	27.0	18.125	90.61538461538461	38.888888888888886	16.161290322580644	12.380952380952381	55.333333333333336	31.923076923076923	23.733333333333334	25.166666666666668	59.142857142857146	37.166666666666664	87.61111111111111	207.125	65.0	104.55555555555556	82.11111111111111	44.63636363636363	57.44444444444444	22.6	29.6	15.2	71.2	43.666666666666664	35.45454545454545	22.555555555555557	2.0	9.0	11.285714285714286	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0
	# checklists reporting species - (2014)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	6	3	4	5	2	8	3	7	4	12	5	5	2	2	10	3	1	1	8	6	2	1	8	0	1	5	1	4	4	4	1	1	0.0	1	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2015)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	5	4	4	10	2	2	3	10	5	6	8	12	5	3	4	11	5	5	2	8	10	9	2	4	1	0	6	5	2	1	1	3	4	2	2	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2016)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	2	8	11	8	10	13	13	8	10	16	11	8	2	2	4	5	7	2	9	6	6	8	6	3	4	6	6	7	1	4	2	1	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2017)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	3	14	7	1	7	12	19	1	17	15	10	9	8	3	16	9	5	5	6	3	9	10	8	12	6	4	2	3	4	7	3	0.0	4	0.0	0	1	0.0	0.0	1
	# checklists reporting species - (2018)	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	13	7	14	8	13	18	31	21	3	13	15	6	7	12	18	8	8	9	18	11	9	15	20	5	10	3	11	9	3	4	7	0.0	1	0.0	0.0	0.0	0.0	3	0.0
	
