

	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
Frequency (%)
	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	4.2727272727272725	68.53333333333333	20.466666666666665	6.222222222222222	9.6	0.0	11.538461538461538	0.0	0.0	13.25	15.25	50.0	14.666666666666666	49.57142857142857	153.25	30.0	0.0	263.5	17.5	60.666666666666664	13.333333333333334	105.42857142857143	250.0	64.0	0.0	8.4	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	Total # checklists submitted - (2009)	1	0.0	0.0	1	0.0	0.0	0.0	0.0	1	7	3	7	4	2	2	2	3	3	3	4	2	1	0	0.0	3	0	0.0	9	1	3	4	1	0	1	2	0	0	2	3	3	0.0	0	0.0	0.0	0.0	0.0	2	1
	Total # checklists submitted - (2010)	0.0	2	0	11	2	1	1	3	0.0	1	3	6	9	1	7	6	4	7	3	5	0	2	0	0	0.0	0	2	1	4	4	2	3	1	5	3	5	2	1	2	5	2	5	0.0	5	6	3	0.0	2
	Total # checklists submitted - (2011)	3	1	1	5	2	0.0	4	6	3	5	2	5	6	5	9	14	8	9	4	7	0.0	2	5	2	6	4	5	8	2	3	7	1	1	1	3	2	3	2	1	3	1	7	3	1	3	4	1	3
	Total # checklists submitted - (2012)	6	2	5	6	1	9	6	12	11	6	8	16	11	13	15	3	9	6	13	12	13	7	3	6	10	4	9	6	7	13	7	12	7	5	0.0	11	5	2	2	6	4	4	6	6	7	2	3	23
	Total # checklists submitted - (2013)	4	6	7	3	3	6	4	1	4	10	11	15	15	9	10	1	13	8	8	8	4	2	3	7	4	1	1	2	6	3	3	7	2	2	2	5	1	1	5	1	2	1	0	1	2	0.0	3	4
	
Birds Per Party Hour
	2009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.5	0.3333333333333333	11.791666666666666	27.0	2.0	137.57507507507506	9.504504504504505	3.6666666666666665	10.25	21.5591625179022	4.0	6.0	0.0	0.0	0.0	5.0	0.0	0.0	166.37275907500796	38.5	97.05311452267513	60.0	6.731050629206907	215.75	0.0	180.0	0.0	0.0	0.0	1.9870129870129871	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
	2010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.13796058269066	0.0	0.0	0.0	89.52380952380952	0.0	50.0	18.181818181818183	10.0	37.28260869565217	8.61111111111111	6.666666666666667	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	213.57142857142858	0.0	11.666666666666666	11.501501501501501	7.966666666666667	0.0	36.49472827018687	0.0	25.491666666666667	0.0	4.35	0.0	3.0555555555555554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
