

	Week starting on...	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22
Frequency (%)
	2019	0.0	0.0	33.33333333333333	40.0	0.0	80.0	0.0	33.33333333333333	0.0	0.0	0.0	37.5
	2020	0.0	0.0	0.0	0.0	0.0	60.0	16.666666666666664	10.0	40.0	25.0	5.88235294117647	14.285714285714285
	2021	20.0	0.0	0.0	25.0	18.181818181818183	50.0	60.0	60.0	80.0	63.63636363636363	57.14285714285714	16.666666666666664
	2022	0.0	0.0	0.0	0.0	0.0	0.0	40.0	50.0	100.0	28.57142857142857	33.33333333333333	7.6923076923076925
	2023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	Total # checklists submitted - (2019)	2	0	3	5	2	5	4	3	4	8	5	8
	Total # checklists submitted - (2020)	2	2	5	5	3	5	6	10	10	8	17	14
	Total # checklists submitted - (2021)	5	0.0	6	4	11	10	10	15	5	11	7	12
	Total # checklists submitted - (2022)	4	1	2	11	10	10	10	10	2	14	6	13
	Total # checklists submitted - (2023)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	
Abundance
	2019	0.0	0.0	0.3333333333333333	30.0	0.0	55.2	0.0	0.0	0.0	0.0	0.0	44.375
	2020	0.0	0.0	0.0	0.0	0.0	33.0	0.3333333333333333	1.0	204.6	625.0	0.17647058823529413	717.8571428571429
	2021	0.4	0.0	0.0	12.5	0.0	15.7	10.7	89.06666666666666	17.6	10.0	5.714285714285714	31.583333333333332
	2022	0.0	0.0	0.0	0.0	0.0	0.0	4.8	121.1	16.5	4.0	58.333333333333336	0.23076923076923078
	2023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	Total # checklists submitted - (2019)	2	0	3	5	2	5	4	3	4	8	5	8
	Total # checklists submitted - (2020)	2	2	5	5	3	5	6	10	10	8	17	14
	Total # checklists submitted - (2021)	5	0.0	6	4	11	10	10	15	5	11	7	12
	Total # checklists submitted - (2022)	4	1	2	11	10	10	10	10	2	14	6	13
	Total # checklists submitted - (2023)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	
Birds Per Party Hour
	2019	0.0	0.0	0.3749531308586427	24.283755325921934	0.0	58.42483842002211	15.0	0.0	0.0	0.0	0.0	88.24242828970426
	2020	0.0	0.0	0.0	0.0	0.0	12.667584809649183	3.1545741324921135	3.225806451612903	504.0086577461208	10000.0	2.0	8824.592151675484
	2021	0.3125	0.0	0.0	20.833333333333332	0.0	19.555379946857652	13.830844184504244	291.67314420207356	104.97431928516147	95.37450484437086	49.930403896537776	1167.7672677111045
	2022	0.0	0.0	0.0	1.364256480218281	0.0	0.0	13.519934032183182	202.0452705173559	6.018602954586905	38.21012770024304	343.5805221618782	0.8823529411764706
	2023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2019)	0.0	0.0	1	2	0.0	3	1	0	0.0	0.0	0.0	3
	# checklists reporting species - (2020)	0.0	0.0	0.0	0.0	0.0	3	1	1	4	1	1	2
	# checklists reporting species - (2021)	1	0.0	0.0	1	0	5	6	9	4	7	3	2
	# checklists reporting species - (2022)	0.0	0.0	0.0	1	0.0	0.0	5	5	1	4	2	1
	# checklists reporting species - (2023)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	
High Count
	2019	0.0	0.0	1	100	0.0	250	45	1	0.0	0.0	0.0	300
	2020	0.0	0.0	0.0	0.0	0.0	150	2	10	2000	5000	3	10000
	2021	2	0.0	0.0	50	1	150	80	1200	26	30	16	349
	2022	0.0	0.0	0.0	1	0.0	0.0	40	1000	33	45	300	3
	2023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2019)	0.0	0.0	1	2	0.0	5	1	1	0.0	0.0	0.0	3
	# checklists reporting species - (2020)	0.0	0.0	0.0	0.0	0.0	3	1	1	4	2	1	2
	# checklists reporting species - (2021)	1	0.0	0.0	1	2	5	6	9	4	7	4	2
	# checklists reporting species - (2022)	0.0	0.0	0.0	1	0.0	0.0	5	5	2	4	2	1
	# checklists reporting species - (2023)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	
Totals
	2019	0.0	0.0	1	150	0.0	276	45	0	0.0	0.0	0.0	355
	2020	0.0	0.0	0.0	0.0	0.0	165	2	10	2046	5000	3	10050
	2021	2	0.0	0.0	50	0	157	107	1336	88	110	40	379
	2022	0.0	0.0	0.0	1	0.0	0.0	55	1211	33	56	350	3
	2023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2019)	0.0	0.0	1	2	0.0	3	1	0	0.0	0.0	0.0	3
	# checklists reporting species - (2020)	0.0	0.0	0.0	0.0	0.0	3	1	1	4	1	1	2
	# checklists reporting species - (2021)	1	0.0	0.0	1	0	5	6	9	4	7	3	2
	# checklists reporting species - (2022)	0.0	0.0	0.0	1	0.0	0.0	5	5	1	4	2	1
	# checklists reporting species - (2023)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	
Average Count
	2019	0.0	0.0	1.0	75.0	0.0	92.0	45.0	0.0	0.0	0.0	0.0	118.33333333333333
	2020	0.0	0.0	0.0	0.0	0.0	55.0	2.0	10.0	511.5	5000.0	3.0	5025.0
	2021	2.0	0.0	0.0	50.0	0.0	31.4	17.833333333333332	148.44444444444446	22.0	15.714285714285714	13.333333333333334	189.5
	2022	0.0	0.0	0.0	1.0	0.0	0.0	11.0	242.2	33.0	14.0	175.0	3.0
	2023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2019)	0.0	0.0	1	2	0.0	3	1	0	0.0	0.0	0.0	3
	# checklists reporting species - (2020)	0.0	0.0	0.0	0.0	0.0	3	1	1	4	1	1	2
	# checklists reporting species - (2021)	1	0.0	0.0	1	0	5	6	9	4	7	3	2
	# checklists reporting species - (2022)	0.0	0.0	0.0	1	0.0	0.0	5	5	1	4	2	1
	# checklists reporting species - (2023)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	
