

	Week starting on...	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22
Frequency (%)
	2004	0.0	0.0	0.0	0.0	0.0	16.666666666666664	0.0	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	0.0	0.0	50.0	0.0	25.0	100.0	0.0	0.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	50.0	0.0	66.66666666666666	50.0	0.0	0.0	0.0	14.285714285714285
	2007	0.0	0.0	0.0	25.0	50.0	50.0	33.33333333333333	0.0	50.0	50.0	100.0	33.33333333333333
	2008	0.0	0.0	0.0	0.0	60.0	100.0	66.66666666666666	33.33333333333333	33.33333333333333	50.0	100.0	0.0
	Total # checklists submitted - (2004)	1	1	1	1	1	6	0.0	6	1	1	3	2
	Total # checklists submitted - (2005)	0.0	1	1	0	2	0.0	4	2	2	0	3	1
	Total # checklists submitted - (2006)	0.0	1	0	4	2	0.0	3	2	2	1	2	7
	Total # checklists submitted - (2007)	1	2	2	4	2	4	3	1	2	2	1	3
	Total # checklists submitted - (2008)	0.0	4	3	4	5	1	3	3	3	2	1	0
	
Abundance
	2004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	0.0	0.0	1000.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	0.5	0.0	200.0	0.0	0.0	0.0	0.0	0.0
	2007	0.0	0.0	0.0	0.25	4.5	15.0	0.6666666666666666	0.0	1.0	15.0	12.0	17.333333333333332
	2008	0.0	0.0	0.0	0.0	0.0	0.0	33.333333333333336	0.3333333333333333	0.0	0.0	0.0	0.0
	Total # checklists submitted - (2004)	1	1	1	1	1	6	0.0	6	1	1	3	2
	Total # checklists submitted - (2005)	0.0	1	1	0	2	0.0	4	2	2	0	3	1
	Total # checklists submitted - (2006)	0.0	1	0	4	2	0.0	3	2	2	1	2	7
	Total # checklists submitted - (2007)	1	2	2	4	2	4	3	1	2	2	1	3
	Total # checklists submitted - (2008)	0.0	4	3	4	5	1	3	3	3	2	1	0
	
Birds Per Party Hour
	2004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	0.7788461538461539	0.0	200.0	0.0	0.0	61.5	0.0	0.0
	2007	0.0	0.0	0.0	0.2857142857142857	2.4	7.6190476190476195	0.5714285714285714	0.0	0.6666666666666666	7.5	3.0	10.4
	2008	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.5714285714285714	0.0	1.0	0.0	0.0
	# checklists reporting species - (2004)	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2005)	0.0	0.0	0	0	0	0.0	1	0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2006)	0.0	0.0	0.0	0.0	2	0.0	1	0	0.0	1	0.0	0
	# checklists reporting species - (2007)	0.0	0.0	0.0	1	1	2	1	0.0	1	1	1	2
	# checklists reporting species - (2008)	0.0	0.0	0.0	0.0	0	0	1	1	0	1	0	0.0
	
High Count
	2004	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	161	1	5484	0.0	1	1	0.0	0.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	15	0.0	600	1	0.0	738	0.0	1
	2007	0.0	0.0	0.0	1	9	30	2	0.0	2	30	12	52
	2008	0.0	0.0	0.0	0.0	1	1	100	25	1	3	1	0.0
	# checklists reporting species - (2004)	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2005)	0.0	0.0	1	1	2	0.0	1	2	0.0	0.0	0.0	0.0
	# checklists reporting species - (2006)	0.0	0.0	0.0	0.0	2	0.0	2	1	0.0	1	0.0	1
	# checklists reporting species - (2007)	0.0	0.0	0.0	1	1	3	1	0.0	1	1	1	2
	# checklists reporting species - (2008)	0.0	0.0	0.0	0.0	3	1	3	2	1	2	1	0.0
	
Totals
	2004	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	161	0	7484	0.0	1	0	0.0	0.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	16	0.0	600	0	0.0	738	0.0	0
	2007	0.0	0.0	0.0	1	9	60	2	0.0	2	30	12	87
	2008	0.0	0.0	0.0	0.0	0	0	100	26	0	3	0	0.0
	# checklists reporting species - (2004)	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2005)	0.0	0.0	1	0	2	0.0	1	0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2006)	0.0	0.0	0.0	0.0	2	0.0	1	0	0.0	1	0.0	0
	# checklists reporting species - (2007)	0.0	0.0	0.0	1	1	2	1	0.0	1	1	1	2
	# checklists reporting species - (2008)	0.0	0.0	0.0	0.0	0	0	1	2	0	1	0	0.0
	
Average Count
	2004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	161.0	0.0	3742.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	8.0	0.0	600.0	0.0	0.0	738.0	0.0	0.0
	2007	0.0	0.0	0.0	1.0	9.0	30.0	2.0	0.0	2.0	30.0	12.0	43.5
	2008	0.0	0.0	0.0	0.0	0.0	0.0	100.0	13.0	0.0	3.0	0.0	0.0
	# checklists reporting species - (2004)	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2005)	0.0	0.0	1	0	2	0.0	1	0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2006)	0.0	0.0	0.0	0.0	2	0.0	1	0	0.0	1	0.0	0
	# checklists reporting species - (2007)	0.0	0.0	0.0	1	1	2	1	0.0	1	1	1	2
	# checklists reporting species - (2008)	0.0	0.0	0.0	0.0	0	0	1	2	0	1	0	0.0
	
